"Fecha Hora","Fecha Hora(RAW)","Trafico suma (volumen)","Trafico suma (volumen)(RAW)","Trafico suma (velocidad)","Trafico suma (velocidad)(RAW)","Trafico in (volumen)","Trafico in (volumen)(RAW)","Trafico in (velocidad)","Trafico in (velocidad)(RAW)","Trafico out (volumen)","Trafico out (volumen)(RAW)","Trafico out (velocidad)","Trafico out (velocidad)(RAW)","Downtime","Downtime(RAW)","Cobertura","Cobertura(RAW)"
"31.03.2019 11:00:00 PM - 12:00:00 AM","43556.2083333333","","","","","","","","","","","","","","","0 %","0000000000"
"01.04.2019 12:00:00 AM - 01:00:00 AM","43556.2500000000","1,984,794 KByte","2032429064.5115","4,449 kbit/s","556127.4841","1,628,581 KByte","1667666676.7119","3,651 kbit/s","456318.6432","356,213 KByte","364762387.7996","798 kbit/s","99808.8408","0 %","0.0000","100 %","0000010000"
"01.04.2019 01:00:00 AM - 02:00:00 AM","43556.2916666667","1,536,137 KByte","1573004577.4668","3,496 kbit/s","436979.7033","1,342,600 KByte","1374822879.1128","3,055 kbit/s","381924.9495","193,537 KByte","198181698.3541","440 kbit/s","55054.7538","0 %","0.0000","100 %","0000009999"
"01.04.2019 02:00:00 AM - 03:00:00 AM","43556.3333333333","2,404,126 KByte","2461825483.6275","5,471 kbit/s","683897.4036","2,203,400 KByte","2256281120.8822","5,014 kbit/s","626796.9889","200,727 KByte","205544362.7453","457 kbit/s","57100.4147","0 %","0.0000","100 %","0000009999"
"01.04.2019 03:00:00 AM - 04:00:00 AM","43556.3750000000","1,829,477 KByte","1873384878.2358","4,163 kbit/s","520428.0574","1,556,010 KByte","1593353784.8112","3,541 kbit/s","442635.1598","273,468 KByte","280031093.4247","622 kbit/s","77792.8976","0 %","0.0000","100 %","0000009999"
"01.04.2019 04:00:00 AM - 05:00:00 AM","43556.4166666667","1,756,887 KByte","1799051777.9234","3,998 kbit/s","499776.8648","1,618,152 KByte","1656987272.3503","3,682 kbit/s","460311.3230","138,735 KByte","142064505.5731","316 kbit/s","39465.5418","0 %","0.0000","100 %","0000009999"
"01.04.2019 05:00:00 AM - 06:00:00 AM","43556.4583333333","1,980,915 KByte","2028456964.8556","4,508 kbit/s","563504.0961","1,776,295 KByte","1818926048.2177","4,042 kbit/s","505296.5365","204,620 KByte","209530916.6379","466 kbit/s","58207.5597","0 %","0.0000","100 %","0000009999"
"01.04.2019 06:00:00 AM - 07:00:00 AM","43556.5000000000","38,701,085 KByte","39629910686.7157","88,074 kbit/s","11009287.1274","32,923,924 KByte","33714098670.2420","74,927 kbit/s","9365859.9293","5,777,160 KByte","5915812016.4737","13,147 kbit/s","1643427.1981","0 %","0.0000","100 %","0000009999"
"01.04.2019 07:00:00 AM - 08:00:00 AM","43556.5416666667","102,749,459 KByte","105215445591.2688","233,829 kbit/s","29228623.6204","86,170,574 KByte","88238668210.8422","196,100 kbit/s","24512511.5177","16,578,884 KByte","16976777380.4266","37,729 kbit/s","4716112.1027","0 %","0.0000","100 %","0000009999"
"01.04.2019 08:00:00 AM - 09:00:00 AM","43556.5833333333","107,102,888 KByte","109673357427.0890","243,736 kbit/s","30467021.9036","93,153,831 KByte","95389523224.4450","211,992 kbit/s","26499003.6015","13,949,057 KByte","14283834202.6440","31,744 kbit/s","3968018.3021","0 %","0.0000","100 %","0000009999"
"01.04.2019 09:00:00 AM - 10:00:00 AM","43556.6250000000","194,779,768 KByte","199454482449.2001","443,268 kbit/s","55408486.3640","148,528,034 KByte","152092706704.9853","338,011 kbit/s","42251377.6679","46,251,734 KByte","47361775744.2148","105,257 kbit/s","13157108.6960","0 %","0.0000","100 %","0000009999"
"01.04.2019 10:00:00 AM - 11:00:00 AM","43556.6666666667","199,453,503 KByte","204240387465.2375","453,905 kbit/s","56738169.1433","153,540,820 KByte","157225799421.1562","349,420 kbit/s","43677472.9620","45,912,684 KByte","47014588044.0813","104,486 kbit/s","13060696.1814","0 %","0.0000","100 %","0000009999"
"01.04.2019 11:00:00 AM - 12:00:00 PM","43556.7083333333","184,062,152 KByte","188479643551.9647","418,876 kbit/s","52359528.9500","150,909,975 KByte","154531814260.2257","343,431 kbit/s","42928842.8712","33,152,177 KByte","33947829291.7390","75,445 kbit/s","9430686.0788","0 %","0.0000","100 %","0000009999"
"01.04.2019 12:00:00 PM - 01:00:00 PM","43556.7500000000","151,011,997 KByte","154636284617.9072","343,667 kbit/s","42958342.0243","127,757,804 KByte","130823991665.8357","290,746 kbit/s","36343228.1941","23,254,192 KByte","23812292952.0715","52,921 kbit/s","6615113.8301","0 %","0.0000","100 %","0000009999"
"01.04.2019 01:00:00 PM - 02:00:00 PM","43556.7916666667","137,584,959 KByte","140886998205.8625","313,105 kbit/s","39138103.9202","110,994,223 KByte","113658084291.9670","252,592 kbit/s","31573970.4234","26,590,736 KByte","27228913913.8955","60,513 kbit/s","7564133.4968","0 %","0.0000","100 %","0000009999"
"01.04.2019 02:00:00 PM - 03:00:00 PM","43556.8333333333","158,716,348 KByte","162525540375.8327","361,198 kbit/s","45149745.9166","134,987,636 KByte","138227338915.0963","307,197 kbit/s","38399683.0056","23,728,712 KByte","24298201460.7363","54,001 kbit/s","6750062.9110","0 %","0.0000","100 %","0000009999"
"01.04.2019 03:00:00 PM - 04:00:00 PM","43556.8750000000","193,448,863 KByte","198091635937.2100","440,239 kbit/s","55029887.3902","152,339,060 KByte","155995197643.0366","346,684 kbit/s","43335490.2598","41,109,803 KByte","42096438294.1733","93,555 kbit/s","11694397.1304","0 %","0.0000","100 %","0000009999"
