"Fecha Hora","Fecha Hora(RAW)","Trafico suma (volumen)","Trafico suma (volumen)(RAW)","Trafico suma (velocidad)","Trafico suma (velocidad)(RAW)","Trafico in (volumen)","Trafico in (volumen)(RAW)","Trafico in (velocidad)","Trafico in (velocidad)(RAW)","Trafico out (volumen)","Trafico out (volumen)(RAW)","Trafico out (velocidad)","Trafico out (velocidad)(RAW)","Downtime","Downtime(RAW)","Cobertura","Cobertura(RAW)"
"19.08.2018 11:00:00 PM - 12:00:00 AM","43332.2083333333","","","","","","","","","","","","","","","0 %","0000000000"
"20.08.2018 12:00:00 AM - 01:00:00 AM","43332.2500000000","2,897,807 KByte","2967353921.9360","6,513 kbit/s","814164.8115","2,123,486 KByte","2174449359.4340","4,773 kbit/s","596612.4026","774,321 KByte","792904562.5020","1,740 kbit/s","217552.4089","0 %","0.0000","100 %","0000010000"
"20.08.2018 01:00:00 AM - 02:00:00 AM","43332.2916666667","1,569,438 KByte","1607104745.5564","3,572 kbit/s","446460.1506","1,316,652 KByte","1348252043.5700","2,996 kbit/s","374549.8307","252,786 KByte","258852701.9864","575 kbit/s","71910.3199","0 %","0.0000","100 %","0000009999"
"20.08.2018 02:00:00 AM - 03:00:00 AM","43332.3333333333","3,281,853 KByte","3360617424.7680","7,469 kbit/s","933585.2323","2,786,795 KByte","2853678241.6164","6,342 kbit/s","792756.6656","495,058 KByte","506939183.1515","1,127 kbit/s","140828.5667","0 %","0.0000","100 %","0000009999"
"20.08.2018 03:00:00 AM - 04:00:00 AM","43332.3750000000","3,586,862 KByte","3672946702.9490","8,163 kbit/s","1020362.1749","3,453,794 KByte","3536685033.9107","7,860 kbit/s","982508.0310","133,068 KByte","136261669.0383","303 kbit/s","37854.1439","0 %","0.0000","100 %","0000009999"
"20.08.2018 04:00:00 AM - 05:00:00 AM","43332.4166666667","3,493,437 KByte","3577279601.5922","7,950 kbit/s","993782.6355","3,281,901 KByte","3360666704.8039","7,469 kbit/s","933606.7031","211,536 KByte","216612896.7883","481 kbit/s","60175.9324","0 %","0.0000","100 %","0000009999"
"20.08.2018 05:00:00 AM - 06:00:00 AM","43332.4583333333","2,147,312 KByte","2198847783.4031","4,887 kbit/s","610853.8331","2,030,735 KByte","2079472691.8554","4,622 kbit/s","577690.6771","116,577 KByte","119375091.5477","265 kbit/s","33163.1561","0 %","0.0000","100 %","0000009999"
"20.08.2018 06:00:00 AM - 07:00:00 AM","43332.5000000000","40,737,952 KByte","41715662360.5503","92,711 kbit/s","11588842.8733","35,606,690 KByte","36461250304.8590","81,033 kbit/s","10129137.9985","5,131,262 KByte","5254412055.6913","11,678 kbit/s","1459704.8748","0 %","0.0000","100 %","0000009999"
"20.08.2018 07:00:00 AM - 08:00:00 AM","43332.5416666667","134,604,027 KByte","137834523463.4582","306,323 kbit/s","38290345.7667","109,488,758 KByte","112116487754.6040","249,167 kbit/s","31145891.2789","25,115,269 KByte","25718035708.8542","57,156 kbit/s","7144454.4878","0 %","0.0000","100 %","0000009999"
"20.08.2018 08:00:00 AM - 09:00:00 AM","43332.5833333333","125,932,628 KByte","128955010752.1695","286,593 kbit/s","35824120.1977","108,704,147 KByte","111313046785.0513","247,385 kbit/s","30923125.3935","17,228,480 KByte","17641963967.1182","39,208 kbit/s","4900994.8043","0 %","0.0000","100 %","0000009999"
