Fecha Hora,Fecha Hora(RAW),Trafico suma (volumen),Trafico suma (volumen)(RAW),Trafico suma (velocidad),Trafico suma (velocidad)(RAW),Trafico in (volumen),Trafico in (volumen)(RAW),Trafico in (velocidad),Trafico in (velocidad)(RAW),Trafico out (volumen),Trafico out (volumen)(RAW),Trafico out (velocidad),Trafico out (velocidad)(RAW),Downtime,Downtime(RAW),Cobertura,Cobertura(RAW)
01.09.2018 12:00:00 AM - 01:00:00 AM,43344.25,"4,563,313 KByte",4672832957,"10,243 kbit/s",1280350.981,"4,036,393 KByte",4133266044,"9,060 kbit/s",1132510.253,"526,921 KByte",539566912.7,"1,183 kbit/s",147840.7279,0%,0,100%,10000
01.09.2018 01:00:00 AM - 02:00:00 AM,43344.29167,"3,379,485 KByte",3460592500,"7,691 kbit/s",961353.1367,"3,218,507 KByte",3295750889,"7,324 kbit/s",915560.1114,"160,978 KByte",164841611.2,366 kbit/s,45793.0253,0%,0,100%,9999
01.09.2018 02:00:00 AM - 03:00:00 AM,43344.33333,"3,517,649 KByte",3602072177,"8,005 kbit/s",1000675.672,"3,230,055 KByte",3307576318,"7,351 kbit/s",918863.0858,"287,594 KByte",294495858.4,655 kbit/s,81812.5864,0%,0,100%,9999
01.09.2018 03:00:00 AM - 04:00:00 AM,43344.375,"3,527,360 KByte",3612016649,"8,028 kbit/s",1003443.877,"3,413,209 KByte",3495125577,"7,768 kbit/s",970970.7072,"114,151 KByte",116891071.6,260 kbit/s,32473.1698,0%,0,100%,9999
01.09.2018 04:00:00 AM - 05:00:00 AM,43344.41667,"2,175,130 KByte",2227332624,"4,950 kbit/s",618758.5075,"2,089,572 KByte",2139722183,"4,755 kbit/s",594420.1105,"85,557 KByte",87610441.1,195 kbit/s,24338.3971,0%,0,100%,9999
01.09.2018 05:00:00 AM - 06:00:00 AM,43344.45833,"1,500,728 KByte",1536745767,"3,415 kbit/s",426914.1437,"1,417,204 KByte",1451216727,"3,225 kbit/s",403153.8333,"83,524 KByte",85529039.06,190 kbit/s,23760.3104,0%,0,100%,9999
01.09.2018 06:00:00 AM - 07:00:00 AM,43344.5,"13,253,682 KByte",13571770854,"30,162 kbit/s",3770302.906,"11,759,018 KByte",12041234363,"26,761 kbit/s",3345112.542,"1,494,665 KByte",1530536491,"3,402 kbit/s",425190.3631,0%,0,100%,9999
01.09.2018 07:00:00 AM - 08:00:00 AM,43344.54167,"57,867,400 KByte",59256217828,"131,692 kbit/s",16461478.02,"51,287,873 KByte",52518781912,"116,718 kbit/s",14589806.88,"6,579,527 KByte",6737435916,"14,973 kbit/s",1871671.148,0%,0,100%,9999
01.09.2018 08:00:00 AM - 09:00:00 AM,43344.58333,"77,950,421 KByte",79821231155,"177,396 kbit/s",22174473.68,"70,438,844 KByte",72129376643,"160,301 kbit/s",20037663.42,"7,511,577 KByte",7691854512,"17,094 kbit/s",2136810.256,0%,0,100%,9999
01.09.2018 09:00:00 AM - 10:00:00 AM,43344.625,"94,537,411 KByte",96806309096,"215,144 kbit/s",26892957.2,"85,246,909 KByte",87292834730,"194,001 kbit/s",24250097.85,"9,290,502 KByte",9513474366,"21,143 kbit/s",2642859.348,0%,0,100%,9999
